No;Latitude;longitude;Lokasi;Tanggal;aD;aL;DAz;Lag;w;lluminasi (%);Suhu_Atmosfer_C;Kelembapan_Pct;Kecepatan_Angin_ms;Kondisi_Awan_Pct;Transparansi_Index;Visibility
1;-6.866597222;112.3577417;Tanjung Kodok ;31/10/2016;7.667;8.883;3.043;31.535;0.1774;0.602;29.52;68.20842395;0.4;54.39312528;0.53;1
2;-7.16975;112.6174694;Condrodipo ;28/03/2017;4.599;5.424;0.661;18.354;0.0733;0.225;29.56;72.81088478;2.52;36.31541334;0.6;1
3;-6.988997222;106.5523639;Pelabuhan Ratu ;28/03/2017;4.803;5.616;0.579;19.197;0.0787;0.241;27.79;67.22750173;2.87;51.96695148;0.54;1
4;-7.16975;112.6174694;Condrodipo ;26/05/2017;8.986;9.981;2.026;38.865;0.255;0.76;29.43;65.99207692;3.35;49.21203252;0.56;1
5;-6.866597222;112.3577417;Tanjung Kodok ;26/05/2017;8.989;9.994;2.077;38.846;0.2557;0.762;29.43;76.81088514;3.35;53.47307616;0.62;1
6;-7.719969444;109.3897111;Logending ;26/05/2017;9.118;10.084;1.886;39.525;0.2603;0.776;28.11;77.8301829;2.87;56.15549846;0.5;2
7;-8.306486111;112.2324417;Serang Blitar ;26/05/2017;9.024;9.979;1.818;39.167;0.2549;0.76;27.24;71.31134516;5.15;63.70105289;0.55;1
8;-6.988997222;106.5523639;Pelabuhan Ratu ;26/05/2017;9.212;10.192;1.984;39.853;0.2659;0.792;29.07;72.41766425;3.77;65.99558206;0.6;1
9;-7.16975;112.6174694;Condrodipo ;24/06/2017;4.268;6.023;3.291;18.113;0.0924;0.277;28.95;76.99665518;3.82;33.40857784;0.61;1
10;-6.732105556;108.5522139;Watukosek ;24/06/2017;4.273;6.148;3.308;18.71;0.0963;0.289;28.93;72.62344147;4.44;62.41804638;0.55;1
11;-6.77235;110.8785833;Kudus ;24/06/2017;4.309;6.079;3.318;18.315;0.0942;0.282;27.93;71.79813916;3.21;46.95234939;0.58;1
12;-10.17708056;123.6064611;Kupang ;24/06/2017;3.963;5.674;3.102;16.961;0.0821;0.246;30.1;73.74981453;4.08;66.29327225;0.71;3
13;-7.16975;112.6174694;Condrodipo ;22/08/2017;7.972;8.771;0.779;33.01;0.1877;0.587;31.12;73.19275311;3.7;54.67919444;0.73;1
14;-6.931772222;110.2029917;Kendal ;22/08/2017;8.053;8.859;0.829;33.344;0.1915;0.599;29.91;65.21066213;2.88;66.41127393;0.72;1
15;-6.866597222;112.3577417;Tanjung Kodok ;22/08/2017;7.979;8.783;0.828;33.013;0.1882;0.588;32.12;60.36916574;3.8;43.01648482;0.72;1
16;-6.866597222;112.3577417;Tanjung Kodok ;20/10/2017;7.578;8.792;2.939;30.89;0.1786;0.59;33.59;72.2783714;1.9;58.88651226;0.71;1
17;-6.77235;110.8785833;Kudus ;20/10/2017;7.628;8.832;2.916;31.097;0.1802;0.595;30.72;70.27763712;1.97;69.37175656;0.66;3
18;-7.16975;112.6174694;Condrodipo ;16/04/2018;5.601;6.722;2.198;22.62;0.1099;0.345;28.11;68.54985495;4.85;52.95472143;0.58;1
19;-6.988997222;106.5523639;Pelabuhan Ratu ;16/04/2018;5.789;6.875;2.121;23.401;0.115;0.361;29.26;60.07628492;2.01;57.69130834;0.49;1
20;-7.16975;112.6174694;Condrodipo ;14/06/2018;8.184;9.086;1.418;35.999;0.2099;0.63;30.71;76.70131881;3.93;62.48381744;0.74;1
21;-6.732105556;108.5522139;Watukosek ;14/06/2018;8.185;9.239;1.454;36.635;0.217;0.651;29.03;72.42920183;3.23;35.05892658;0.7;1
22;-6.866597222;112.3577417;Tanjung Kodok ;14/06/2018;8.191;9.1;1.466;35.998;0.2105;0.632;30.71;77.19020513;3.93;42.2256715;0.72;1
23;-7.152477778;111.8869306;Bojonegoro ;14/06/2018;8.219;9.112;1.414;36.123;0.2111;0.634;30.62;79.20107706;2.95;53.6829275;0.72;1
24;-8.023227778;110.3245222;Parangkusumo ;14/06/2018;8.278;9.155;1.252;36.524;0.2131;0.639;28.41;60.27708352;3.84;37.14091263;0.72;3
25;-7.719969444;109.3897111;Logending ;14/06/2018;8.310;9.193;1.294;36.64;0.2149;0.645;28.42;61.23301893;2.36;57.68299664;0.66;2
26;-5.735241667;106.6007556;Pulau Karya  ;14/06/2018;8.398;9.325;1.607;36.822;0.2211;0.663;28.84;68.79796375;3.57;69.05615471;0.58;3
27;-7.16975;112.6174694;Condrodipo ;12/08/2018;13.84;14.634;0.349;58.834;0.5422;1.629;32.85;64.62525332;3.5;68.25478271;0.69;1
28;-7.15425;113.4739111;Pamekasan ;12/08/2018;13.81;14.601;0.35;58.691;0.5398;1.621;29.36;71.3382821;4.39;66.61801757;0.68;3
29;-7.191055556;113.2475639;Sampang ;12/08/2018;13.81;14.609;0.341;58.734;0.5404;1.623;30.06;65.40946509;3.78;57.42183213;0.68;1
30;-7.574086111;112.2860889;Jombang ;12/08/2018;13.85;14.642;0.242;58.954;0.5428;1.631;34.16;69.40648793;2.42;49.72561097;0.69;3
31;-7.705844444;114.0060722;Situbondo ;12/08/2018;13.78;14.574;0.2;58.692;0.5378;1.615;29.28;73.01143548;3.2;53.97623618;0.65;1
32;-6.308333333;119.6927778;Makassar ;12/08/2018;13.58;14.368;0.546;57.535;0.5228;1.57;27.7;73.71370172;5.8;47.53311104;0.72;1
33;-6.77235;110.8785833;Kudus ;12/08/2018;13.91;14.705;0.465;59.055;0.5475;1.645;33.96;65.19879738;1.78;61.52655806;0.69;3
34;-6.5805;110.6789528;Jepara ;12/08/2018;13.92;14.715;0.518;59.056;0.5482;1.647;30.05;69.0837265;2.88;61.88909411;0.69;1
35;-7.875277778;110.4261111;Yogyakarta ;12/08/2018;13.92;14.711;0.168;59.31;0.5479;1.646;30.18;69.26486374;3.77;52.35020197;0.68;2
36;-6.814661111;107.6232611;Lembang ;10/09/2018;9.556;10.415;1.256;39.304;0.271;0.827;26.33;79.90695395;3.05;33.29681123;0.74;3
37;-7.16975;112.6174694;Condrodipo ;10/09/2018;9.362;10.237;1.361;38.529;0.2619;0.799;32.98;79.55438213;4.32;32.81517422;0.76;1
38;-6.77235;110.8785833;Kudus ;10/09/2018;9.437;10.3;1.275;38.802;0.2651;0.809;35.48;72.47600989;2.85;32.33882937;0.71;3
39;-8.173258333;113.7005389;Jember ;10/09/2018;9.301;10.195;1.549;38.347;0.2598;0.792;28.79;71.54406545;5.14;42.95864474;0.66;1
40;5.477630556;95.24422778;Lhoknga ;07/03/2019;9.283;10.1;1.521;37.714;0.2313;0.778;29.38;67.23591703;5.17;43.75222553;0.7;3
41;-7.16975;112.6174694;Condrodipo ;05/05/2019;6.401;7.291;1.575;26.478;0.1259;0.406;30.64;69.6415066;0.92;40.40995421;0.65;1
42;-8.204722222;112.1583333;Blitar ;05/05/2019;6.434;7.295;1.438;26.689;0.126;0.406;28.84;75.92556007;2.75;41.20909131;0.71;1
43;-6.866597222;112.3577417;Tanjung Kodok ;05/05/2019;6.402;7.3;1.609;26.468;0.1262;0.407;30.64;73.9729514;0.92;50.43266842;0.7;1
